id_actor;name
0;Iris Bahr
1;Tang Wei
2;Heath Ledger
3;Jonas Bloquet
4;Fele Martínez
5;James Frain
6;Anna Magnani
7;Danielle Darrieux
8;Kate Walsh
9;Armando Brancia
10;Ryan McCluskey
11;Ghassan Massoud
12;Zulay Henao
13;Ralph Macchio
14;Jamie Foxx
15;Juliette Binoche
16;Emily Meade
17;Freddy Rodríguez
18;Jorma Taccone
19;Micah Sloat
20;Sam Wanamaker
21;Michelle Monaghan
22;Carlo Kitzlinger
23;John Hurt
24;David Alan Basche
25;Jonathan Groff
26;Hideaki Anno
27;Amber Heard
28;Toby Stephens
29;Gou Maeda
30;Pavel Kraynov
31;Sessue Hayakawa
32;Álvaro Guerrero
33;Serge Riaboukine
34;Jonathan Bennett
35;DeRay Davis
36;Olivia Draguicevich
37;Scott Wolf
38;Dean Norris
39;Andy Dick
40;Michael Oliver
41;Edmond O'Brien
42;Joe Belcher
43;Warren Christie
44;Sean Penn
45;Alex Sharp
46;Honor Kneafsey
47;David Milford
48;James Doohan
49;William H. Lynn
50;Dante Basco
51;Nicholas Downs
52;Aju Varghese
53;Felicity Huffman
54;Ice Cube
55;Laura Harring
56;Jennifer Beals
57;Kris Lemche
58;Eric Johnson
59;Suhail Dabbach
60;Nicollette Sheridan
61;Simon Yam
62;Pauline Burlet
63;Woody Norman
64;Joaquim de Almeida
65;Craig Van Hook
66;Jasmine Mathews
67;Don 'D.C.' Curry
68;Jorge Diaz
69;Kimberly Deauna Adams
70;Joseph Lee
71;Fabio Audi
72;Rebel Penfold-Russell
73;Dina Spybey-Waters
74;Tara Sutaria
75;Hal Scardino
76;Emma Suárez
77;Ann Dowd
78;Zachary David Cope
79;Anders Baasmo
80;Frank Adu
81;Yayan Ruhian
82;Frank Madigan
83;Ronan Collins
84;Angeliki Papoulia
85;Miori Takimoto
86;Simon MacCorkindale
87;Ryan Robbins
88;Dan Aykroyd
89;Maggie McOmie
90;Ali Fazal
91;Fernando Cayo
92;Jim Varney
93;Machiko Kyô
94;Annie McEnroe
95;Jean Smart
96;Jeep Swenson
97;Elizabeth Peña
98;Garry Marshall
99;Steven Yeun
100;Chunky Pandey
101;Morgan Allen
102;Tatsuya Fujiwara
103;Judah Nelson
104;Gary Raymond
105;Adolphe Menjou
106;Günes Sensoy
107;Tota Roy Chowdhury
108;Brontis Jodorowsky
109;Julian McMahon
110;Orhan Aydin
111;Nithya Menen
112;Dominique Swain
113;Stanley Tucci
114;Jonathan Sadowski
115;Leopold Stokowski
116;Romany Malco
117;Jamal Woolard
118;James Earl Jones
119;Dominique Horwitz
120;Shelley Duvall
121;Che Tafari
122;Kumail Nanjiani
123;Jesse Plemons
124;Chelsea Field
125;José Luis García-Pérez
126;Victor Gojcaj
127;Lucas Hedges
128;Yorick van Wageningen
129;Minami Takayama
130;Rosie Huntington-Whiteley
131;Zoltán Mucsi
132;Sook-Yin Lee
133;Robin Givens
134;Travis Johnson
135;Penelope Ann Miller
136;Avery Brooks
137;Mathieu Kassovitz
138;Patrick Wilson
139;Mahima Makwana
140;Melissa Fahn
141;Bill Farmer
142;Paul Frankeur
143;Rachael Harris
144;Ho-jin Chun
145;Frédéric Pierrot
146;Hoyt Axton
147;Alicia Keys
148;Geir Vegar Hoel
149;Eric Bana
150;M. Emmet Walsh
151;James Cagney
152;Skye McCole Bartusiak
153;Juliette Mayniel
154;Norman Alden
155;Claude Brasseur
156;Bryan Greenberg
157;Morena Baccarin
158;Lauren Tsai
159;Rob Morrow
160;Reginald VelJohnson
161;Mark Rylance
162;Talia Shire
163;Jóhannes Haukur Jóhannesson
164;Vladimir Vdovichenkov
165;Lance Henriksen
166;Olivia de Havilland
167;Kyôko Kagawa
168;Paul Jesson
169;Peter Falk
170;Chico Marx
171;Gustaf Hammarsten
172;Michael Keaton
173;Craig Sheffer
174;Tuppence Middleton
175;Kimberly Elise
176;Michele Valley
177;Jay Baruchel
178;Michael Ansara
179;Bob Griffin
180;Jon Foster
181;Yûsuke Iseya
182;Nick Alachiotis
183;Lesley Manville
184;Joss Ackland
185;Norihei Miki
186;Malcolm McDowell
187;Atossa Leoni
188;Lisa Boyle
189;Luiz Carlos Vasconcelos
190;Maurice Ronet
191;Tony Hale
192;Ellie Kemper
193;Wesley Snipes
194;Mary Astor
195;Aleksandr Baluev
196;Agnes Moorehead
197;Peter Stickles
198;Philip Bosco
199;Jessica Simpson
200;Chino Darín
201;Archie Panjabi
202;Chris Bauer
203;Jay Chou
204;Liev Schreiber
205;Kenan Thompson
206;Émile Vallée
207;Terry Gilliam
208;Joseph Mazzello
209;Orlando Bloom
210;Clayton Snyder
211;Megan Ward
212;Ed Skrein
213;Oscar Isaac
214;Rachael Blake
215;Diane Baker
216;Max Riemelt
217;Ricardo Darín
218;Jason Earles
219;Angelo Josue Lozano Corzo
220;Robert Downey Jr.
221;Neil Brown Jr.
222;Anthony Rapp
223;Thanawut Ketsaro
224;John Getz
225;Tom Guiry
226;Graham McTavish
227;Cybill Shepherd
228;John Sharian
229;Gunnar Björnstrand
230;Jyoti Subhash
231;Tiger Hu Chen
232;Mike Minett
233;Woo-hee Chun
234;Madeleine West
235;Maciej Póltorak
236;Leon
237;Lennie James
238;Dorothy Comingore
239;Juan Ferrara
240;Jennifer Warren
241;Lex Scott Davis
242;Carolyn Saxon
243;Pili Groyne
244;Matthew Morrison
245;Arnold Vosloo
246;Kamatari Fujiwara
247;Akihiro Miwa
248;Sigourney Weaver
249;Lon Chaney Jr.
250;Adil Hussain
251;Andrew Simpson
252;Allu Arjun
253;Jesse Borrego
254;Aizhan Lighg
255;Anita Mui
256;Andreas Wisniewski
257;DJ Flava
258;Terry Potter
259;Jocelyn Brando
260;Pete Smith
261;Colton James
262;Rebecca Pidgeon
263;Shôtarô Morikubo
264;Britney Spears
265;Chris Coppola
266;Roscoe Lee Browne
267;Stacey Dash
268;Daniel Olbrychski
269;Ernie Hudson
270;Brittany Ashton Holmes
271;Damaine Radcliff
272;Andi Matichak
273;Mya Taylor
274;Aleksey Rozin
275;Sally Kirkland
276;Gil Birmingham
277;Rachel Weisz
278;Richard Portnow
279;Oakes Fegley
280;Domhnall Gleeson
281;Bryce Gheisar
282;Anna Wing
283;Ilana Glazer
284;Ray Walston
285;Alex Palmer
286;Jamie Kennedy
287;Izzy Meikle-Small
288;Adrienne King
289;Alistair Abell
290;Thardelly Lima
291;Ian Anthony Dale
292;Bahar Soomekh
293;Peter Weller
294;Yûko Tanaka
295;Heather Donahue
296;Momo Dione
297;Stéphane Algoud
298;Margarita Levieva
299;Christine Ebersole
300;Jonas Strand Gravli
301;Jack Lemmon
302;Natasha Calis
303;Luka Saranovic
304;Caoilinn Springall
305;Emily Barclay
306;José Luis Gómez
307;Del Negro
308;Helen Thomson
309;Bernard Lee
310;Kim Kap-su
311;Bela Lugosi
312;Jonathan Brandis
313;Jeff Conaway
314;Dany Boon
315;Juan Carlos Hernández
316;Jessica Tyler Brown
317;Mark Burnham
318;Sharad Kelkar
319;Matt Dillon
320;Geoff Pierson
321;Tim Pigott-Smith
322;Nick Frost
323;Melanie Vallejo
324;Carlos Alazraqui
325;Brian Downey
326;Alison Whelan
327;Randeep Hooda
328;J.L. Reate
329;Josh Albee
330;Don Thompson
331;Benoît Régent
332;Susan Harrison
333;Lynn Collins
334;Caio Junqueira
335;Laia Costa
336;Macha Grenon
337;Hugo Weaving
338;Drake Cook
339;Robert Stack
340;Simon Rex
341;Shyann McClure
342;Christine Cavanaugh
343;Paul Ritter
344;Karen Taylor
345;Jacqueline Fernandez
346;Jonathan Race
347;Jeffrey Bowyer-Chapman
348;Kevin Jamal Woods
349;Robert Warwick
350;Matvey Novikov
351;Jack Kehler
352;Lee Meriwether
353;Nana Mori
354;Christopher Lloyd
355;Ned Dowd
356;Sarah Roemer
357;Ann Dvorak
358;Ioan Gruffudd
359;Hazel Sandery
360;Lily Anne McPherson-Dobbins
361;Duncan Regehr
362;Josh Lawson
363;Rasmus Hardiker
364;Rod Taylor
365;Sangeetha Sringeri
366;Michelle Ferre
367;Rena Owen
368;Paul Schneider
369;Robert Bathurst
370;Sean Young
371;Mia Stallard
372;David Keith
373;James Brolin
374;Nick Cannon
375;Slavko Stimac
376;Geoffrey Lewis
377;D.B. Sweeney
378;Karl Swenson
379;Jake Johnson
380;Antonio Resines
381;Kay Kay Menon
382;Pasha Ebrahimi
383;Derek John Drescher
384;Matt Stone
385;Kristina Adolphson
386;Srdjan 'Zika' Todorovic
387;Matthew McConaughey
388;Vikrant Massey
389;Luis Guzmán
390;Danny Denzongpa
391;William Richert
392;Wendi McLendon-Covey
393;Matt Bush
394;Kate Mara
395;Ivo Nandi
396;Radha Mitchell
397;Alan Howard
398;Sally Phillips
399;Bam Bam Bigelow
400;Marcel Dalio
401;Andrew Bachelor
402;Ellen Greene
403;Gordana Vukres
404;Fannie Flagg
405;David Ogden Stiers
406;Tyler Hoechlin
407;Vincent Perez
408;Soham Majumdar
409;Claude Rains
410;Tobin Bell
411;Betsy Palmer
412;Jean Topart
413;Dolly Ahluwalia
414;Bulle Ogier
415;Evangeline Lilly
416;Keir Dullea
417;Dwight Frye
418;Maisie Williams
419;François Cluzet
420;Franklin Cover
421;Michael Paul Stephenson
422;Rinko Kikuchi
423;Victor Boichev
424;Sophia Myles
425;Humberto Carrão
426;Karan Soni
427;Loretta Devine
428;Kotono Mitsuishi
429;Doug Hutchison
430;Mickey Sumner
431;Ernie Dingo
432;Evgeniya Lapova
433;Julie Bowen
434;Tara Reid
435;Sam Huntington
436;Audrey Tautou
437;Mario Van Peebles
438;Hee Jae
439;Kate Ashfield
440;Rocci Williams
441;Francesca Annis
442;R.D. Reid
443;Moon Geun-young
444;Maria Grazia Cucinotta
445;Jim Caviezel
446;Chase Williamson
447;Josh Charles
448;Manner Washington
449;J.E. Freeman
450;Caglar Ertugrul
451;Jane Fonda
452;Christopher Castile
453;Michael Lerner
454;Scott MacDonald
455;Erich von Stroheim
456;Peter Riegert
457;Gabriel Rush
458;Mickey Rourke
459;Martin Stringer
460;Jean-Marie Lamour
461;Orlando Jones
462;Steve Oram
463;Mindy Kaling
464;Jean-Baptiste Maunier
465;Sal Mineo
466;Laurent Lafitte
467;Richard Basehart
468;Bernie Mac
469;Priscilla Lane
470;Brian Dennehy
471;Ben Falcone
472;Erdil Yasaroglu
473;Ed O'Ross
474;Kelly Gould
475;Marc-Marvin Israel
476;S.J. Suryah
477;Molly Ringwald
478;Merna Kennedy
479;Jeremy Sisto
480;Richard Webber
481;Ayami Kakiuchi
482;Rob Corddry
483;Albert Dupontel
484;Sydney Pollack
485;Connor Price
486;Ben Affleck
487;Stephen Furst
488;Vincent Regan
489;Oka Antara
490;Bill Thompson
491;Harsha Chemudu
492;Leandro Firmino
493;Henrik Dahl
494;Dishita Sehgal
495;Rebecca Ferguson
496;Andy Serkis
497;Na-kel Smith
498;Molly Parker
499;Johanna Gastdorf
500;Nigel Bennett
501;Jake Ryan
502;Geno Silva
503;Jennifer Esposito
504;Adel Bencherif
505;Oscar Levant
506;Barbra Streisand
507;Kate Maberly
508;Robert Hays
509;Marion Mack
510;Suriya
511;Morgan Lily
512;Shraddha Kapoor
513;Tyrese Gibson
514;Lucy Fry
515;Rachel Roberts
516;Porter Hall
517;Bill Bernstein
518;Payman Maadi
519;Corey Burton
520;Traylor Howard
521;Ashley Zukerman
522;Michiel Huisman
523;Russell Bobbitt
524;Santhanam
525;Katie Featherston
526;Tupac Shakur
527;Anna Hutchison
528;Rio Kanno
529;Kenneth Welsh
530;Wah Yuen
531;Bob Balaban
532;Sasha Lane
533;Bob Odenkirk
534;J. Quinton Johnson
535;Anna Cathcart
536;David Foley
537;Everett Sloane
538;Madelyn Grace
539;Nikolaj Lie Kaas
540;Radhika Apte
541;Lesley Sharp
542;Jang Dong-Gun
543;Jessie Royce Landis
544;Fred Thompson
545;Jordana Brewster
546;Kaley Cuoco
547;Katheryn Winnick
548;Elisabeth Harnois
549;Cynthia Erivo
550;Martha Vickers
551;David Sullivan
552;Caoilfhionn Dunne
553;Tyrees Allen
554;Karl Malden
555;Kiddy Smile
556;Kari Wuhrer
557;Chris Miller
558;Willie Nelson
559;Tyne Daly
560;Bill Hader
561;Bill Wise
562;Sam Palladio
563;Ceyda Saltadal
564;Edward Furlong
565;Çetin Tekindor
566;Brianne Tju
567;Corey Hawkins
568;Brandon T. Jackson
569;Ken Takakura
570;Dean Martin
571;Thomas Gibson
572;Joseph Vijay
573;Jillian Bell
574;Melinda McGraw
575;Georges Siatidis
576;Jean-Pierre Léaud
577;Zoé Félix
578;Ruairi O'Connor
579;Tom Cullen
580;Rafi Gavron
581;Bud Luckey
582;Arash Marandi
583;Silvero Pereira
584;Matt O'Leary
585;Vinícius de Oliveira
586;Jeff Lima
587;Lee Cormie
588;Dakota Beavers
589;Louis Herthum
590;Tetsurô Tanba
591;Jemima West
592;Taraneh Alidoosti
593;Daniel Giménez Cacho
594;Saurabh Shukla
595;Guillaume Canet
596;Kingsley Ben-Adir
597;Megan Park
598;Karen Mok
599;Marie-Laure Dougnac
600;Zoë Bell
601;Dylan Sprouse
602;J. Todd Smith
603;Nehemiah Persoff
604;Roselyn Sanchez
605;Aditya Srivastav
606;Michael Chiklis
607;Nicholas Brendon
608;Eddie Baroo
609;Mirai Shida
610;Laith Nakli
611;Sam Neill
612;Colin Farrell
613;Aldo Silvani
614;Georges Poujouly
615;Adolfo Celi
616;Guillaume Bouchède
617;Ivan Lapikov
618;James Karen
619;Rex Harrison
620;Elizabeth Moody
621;Simon Shepherd
622;Yaya DaCosta
623;Paris Hilton
624;Maleah Nipay-Padilla
625;Tony Randall
626;Jeremy Slate
627;Stephanie Hsu
628;David Arquette
629;Yoshiko Shinohara
630;Herb Caillouet
631;Otto Jespersen
632;Simon Pegg
633;John Rhys-Davies
634;Priyanka Chopra Jonas
635;Marie Gillain
636;Phil Harris
637;Carlos Sanz
638;Lauren Ridloff
639;Darren McGavin
640;Durgesh Kumar
641;David Carradine
642;Gay DeForest
643;Teri Hatcher
644;Dan Hedaya
645;Alex Esmail
646;Caren Pistorius
647;Jarell Houston
648;Javon 'Wanna' Walton
649;Charles Malik Whitfield
650;Harshvardhan Rane
651;Pumwaree Yodkamol
652;Benjamin Evan Ainsworth
653;Viola Davis
654;Sarah Gadon
655;Russell M. Haeuser
656;Larry Hagman
657;Zero Mostel
658;Michael Jeter
659;Tobey Maguire
660;Rajinikanth
661;T.J. Cross
662;Edward G. Robinson
663;Ari Graynor
664;Giorgia Moll
665;Richard Haydn
666;Ann Reinking
667;Gregory Dayton
668;Karl Urban
669;Chris Diamantopoulos
670;John Allen Nelson
671;Russell Means
672;Anthony Michael Hall
673;François Damiens
674;Hansjörg Felmy
675;John Louie
676;Ayesha Khan
677;Mitsuo Iwata
678;Tony Curran
679;David Tennant
680;John Doman
681;Austin Pendleton
682;Michele Morrone
683;Luing Andrews
684;Ross Harper
685;Daisy Donovan
686;Rosemarie DeWitt
687;Glynis Johns
688;Fred Norris
689;Roger Miller
690;Robert Ri'chard
691;Lee Strasberg
692;Luenell
693;Mathieu Amalric
694;Art Evans
695;Divya Dutta
696;Michael Beck
697;Bruce Willis
698;Sofía Vergara
699;Raúl Arévalo
700;Roger Rees
701;Sophie Nélisse
702;Craig Robinson
703;Edi Gathegi
704;Karen McLymont
705;Catherine McCormack
706;Ana Coto
707;Myrna Loy
708;Diane Ladd
709;Gerard Hendrick
710;Rachel Nichols
711;Réka Tenki
712;Brittany Daniel
713;Alfie Bass
714;Kristanna Loken
715;Rory J. Saper
716;Gene Hackman
717;Thomas Brodie-Sangster
718;Susan Egan
719;Helen Chandler
720;Brittany Murphy
721;Kevin Dillon
722;Tom Schilling
723;George Grizzard
724;Anna Foglietta
725;Gregory Smith
726;Richard Attenborough
727;Suniel Shetty
728;Ulrich Mühe
729;Sagarika Ghatge
730;Boman Irani
731;Shad Moss
732;Courteney Cox
733;Gwen Eckhaus
734;Jamie Flatters
735;Krista Allen
736;Manju Warrier
737;Hunter McCracken
738;Caroline Goodall
739;Rodger Bumpass
740;Danny Sapani
741;Craig Parkinson
742;Blythe Danner
743;Amy Doyle
744;Karina Arroyave
745;Josh Duhamel
746;Blair Underwood
747;Patrick Stewart
748;Tianyuan Huang
749;Jessica Williams
750;Lothar Chamski
751;Chika Sakamoto
752;Steven Weber
753;Jack Kehoe
754;Josh Peck
755;Dax Shepard
756;Kirsten Dunst
757;T.J. Miller
758;Carrie Fisher
759;Mary Demas
760;Arjun Das
761;Kim Greist
762;Rick Moranis
763;Susanne Lothar
764;Michaela Conlin
765;Philippe Torreton
766;Erin Moriarty
767;Matthew Ferguson
768;Paul Shenar
769;Simon Callow
770;Katie Aselton
771;Marsha Mason
772;Greg Germann
773;Brianne Howey
774;Mirai Yamamoto
775;Chiara Mastroianni
776;Daniel Emilfork
777;Kyle Gass
778;M.K. Raina
779;Amadu Mamadakov
780;Jennifer Westfeldt
781;Takeshi Aono
782;Marisol Nichols
783;Jerry Ferrara
784;Stephan James
785;Diana Silvers
786;Rachel House
787;Nicole Ari Parker
788;Ho-Sung Pak
789;Moerangi Tihore
790;Lauren Tempany
791;Dominic West
792;Al Madrigal
793;Maury Chaykin
794;Nancy Allen
795;Bilal Hanci
796;Sissy Spacek
797;Shanice Banton
798;Tim Heidecker
799;Reginald Gardiner
800;Ellen Dorrit Petersen
801;Tova Stewart
802;Kerri Kenney
803;Brenda Blethyn
804;You Ge
805;Franky G
806;Amira Casar
807;Lisa Banes
808;Claudine Longet
809;Marcia Gay Harden
